FID	IID	PRS
ind191	ind191	-410
ind192	ind192	-409
ind193	ind193	-408
ind194	ind194	-407
ind195	ind195	-406
ind196	ind196	-405
ind197	ind197	-404
ind198	ind198	-403
ind199	ind199	-402
ind200	ind200	-401
ind201	ind201	-400
ind202	ind202	-399
ind203	ind203	-398
ind204	ind204	-397
ind205	ind205	-396
ind206	ind206	-395
ind207	ind207	-394
ind208	ind208	-393
ind209	ind209	-392
ind210	ind210	-391
ind211	ind211	-390
ind212	ind212	-389
ind213	ind213	-388
ind214	ind214	-387
ind215	ind215	-386
ind216	ind216	-385
ind217	ind217	-384
ind218	ind218	-383
ind219	ind219	-382
ind220	ind220	-381
ind221	ind221	-380
ind222	ind222	-379
ind223	ind223	-378
ind224	ind224	-377
ind225	ind225	-376
ind226	ind226	-375
ind227	ind227	-374
ind228	ind228	-373
ind229	ind229	-372
ind230	ind230	-371
ind231	ind231	-370
ind232	ind232	-369
ind233	ind233	-368
ind234	ind234	-367
ind235	ind235	-366
ind236	ind236	-365
ind237	ind237	-364
ind238	ind238	-363
ind239	ind239	-362
ind240	ind240	-361
ind241	ind241	-360
ind242	ind242	-359
ind243	ind243	-358
ind244	ind244	-357
ind245	ind245	-356
ind246	ind246	-355
ind247	ind247	-354
ind248	ind248	-353
ind249	ind249	-352
ind250	ind250	-351
ind251	ind251	-350
ind252	ind252	-349
ind253	ind253	-348
ind254	ind254	-347
ind255	ind255	-346
ind256	ind256	-345
ind257	ind257	-344
ind258	ind258	-343
ind259	ind259	-342
ind260	ind260	-341
ind261	ind261	-340
ind262	ind262	-339
ind263	ind263	-338
ind264	ind264	-337
ind265	ind265	-336
ind266	ind266	-335
ind267	ind267	-334
ind268	ind268	-333
ind269	ind269	-332
ind270	ind270	-331
ind271	ind271	-330
ind272	ind272	-329
ind273	ind273	-328
ind274	ind274	-327
ind275	ind275	-326
ind276	ind276	-325
ind277	ind277	-324
ind278	ind278	-323
ind279	ind279	-322
ind280	ind280	-321
ind281	ind281	-320
ind282	ind282	-319
ind283	ind283	-318
ind284	ind284	-317
ind285	ind285	-316
ind286	ind286	-315
ind287	ind287	-314
ind288	ind288	-313
ind289	ind289	-312
ind290	ind290	-311
ind291	ind291	-310
ind292	ind292	-309
ind293	ind293	-308
ind294	ind294	-307
ind295	ind295	-306
ind296	ind296	-305
ind297	ind297	-304
ind298	ind298	-303
ind299	ind299	-302
ind300	ind300	-301
ind301	ind301	-300
ind302	ind302	-299
ind303	ind303	-298
ind304	ind304	-297
ind305	ind305	-296
ind306	ind306	-295
ind307	ind307	-294
ind308	ind308	-293
ind309	ind309	-292
ind310	ind310	-291
ind311	ind311	-290
ind312	ind312	-289
ind313	ind313	-288
ind314	ind314	-287
ind315	ind315	-286
ind316	ind316	-285
ind317	ind317	-284
ind318	ind318	-283
ind319	ind319	-282
ind320	ind320	-281
ind321	ind321	-280
ind322	ind322	-279
ind323	ind323	-278
ind324	ind324	-277
ind325	ind325	-276
ind326	ind326	-275
ind327	ind327	-274
ind328	ind328	-273
ind329	ind329	-272
ind330	ind330	-271
ind331	ind331	-270
ind332	ind332	-269
ind333	ind333	-268
ind334	ind334	-267
ind335	ind335	-266
ind336	ind336	-265
ind337	ind337	-264
ind338	ind338	-263
ind339	ind339	-262
ind340	ind340	-261
ind341	ind341	-260
ind342	ind342	-259
ind343	ind343	-258
ind344	ind344	-257
ind345	ind345	-256
ind346	ind346	-255
ind347	ind347	-254
ind348	ind348	-253
ind349	ind349	-252
ind350	ind350	-251
ind351	ind351	-250
ind352	ind352	-249
ind353	ind353	-248
ind354	ind354	-247
ind355	ind355	-246
ind356	ind356	-245
ind357	ind357	-244
ind358	ind358	-243
ind359	ind359	-242
ind360	ind360	-241
ind361	ind361	-240
ind362	ind362	-239
ind363	ind363	-238
ind364	ind364	-237
ind365	ind365	-236
ind366	ind366	-235
ind367	ind367	-234
ind368	ind368	-233
ind369	ind369	-232
ind370	ind370	-231
ind371	ind371	-230
ind372	ind372	-229
ind373	ind373	-228
ind374	ind374	-227
ind375	ind375	-226
ind376	ind376	-225
ind377	ind377	-224
ind378	ind378	-223
ind379	ind379	-222
ind380	ind380	-221
ind381	ind381	-220
ind382	ind382	-219
ind383	ind383	-218
ind384	ind384	-217
ind385	ind385	-216
ind386	ind386	-215
ind387	ind387	-214
ind388	ind388	-213
ind389	ind389	-212
ind390	ind390	-211
ind391	ind391	-210
ind392	ind392	-209
ind393	ind393	-208
ind394	ind394	-207
ind395	ind395	-206
ind396	ind396	-205
ind397	ind397	-204
ind398	ind398	-203
ind399	ind399	-202
ind400	ind400	-201
ind401	ind401	-200
ind402	ind402	-199
ind403	ind403	-198
ind404	ind404	-197
ind405	ind405	-196
ind406	ind406	-195
ind407	ind407	-194
ind408	ind408	-193
ind409	ind409	-192
ind410	ind410	-191
ind411	ind411	-190
ind412	ind412	-189
ind413	ind413	-188
ind414	ind414	-187
ind415	ind415	-186
ind416	ind416	-185
ind417	ind417	-184
ind418	ind418	-183
ind419	ind419	-182
ind420	ind420	-181
ind421	ind421	-180
ind422	ind422	-179
ind423	ind423	-178
ind424	ind424	-177
ind425	ind425	-176
ind426	ind426	-175
ind427	ind427	-174
ind428	ind428	-173
ind429	ind429	-172
ind430	ind430	-171
ind431	ind431	-170
ind432	ind432	-169
ind433	ind433	-168
ind434	ind434	-167
ind435	ind435	-166
ind436	ind436	-165
ind437	ind437	-164
ind438	ind438	-163
ind439	ind439	-162
ind440	ind440	-161
ind441	ind441	-160
ind442	ind442	-159
ind443	ind443	-158
ind444	ind444	-157
ind445	ind445	-156
ind446	ind446	-155
ind447	ind447	-154
ind448	ind448	-153
ind449	ind449	-152
ind450	ind450	-151
ind451	ind451	-150
ind452	ind452	-149
ind453	ind453	-148
ind454	ind454	-147
ind455	ind455	-146
ind456	ind456	-145
ind457	ind457	-144
ind458	ind458	-143
ind459	ind459	-142
ind460	ind460	-141
ind461	ind461	-140
ind462	ind462	-139
ind463	ind463	-138
ind464	ind464	-137
ind465	ind465	-136
ind466	ind466	-135
ind467	ind467	-134
ind468	ind468	-133
ind469	ind469	-132
ind470	ind470	-131
ind471	ind471	-130
ind472	ind472	-129
ind473	ind473	-128
ind474	ind474	-127
ind475	ind475	-126
ind476	ind476	-125
ind477	ind477	-124
ind478	ind478	-123
ind479	ind479	-122
ind480	ind480	-121
ind481	ind481	-120
ind482	ind482	-119
ind483	ind483	-118
ind484	ind484	-117
ind485	ind485	-116
ind486	ind486	-115
ind487	ind487	-114
ind488	ind488	-113
ind489	ind489	-112
ind490	ind490	-111
ind491	ind491	-110
ind492	ind492	-109
ind493	ind493	-108
ind494	ind494	-107
ind495	ind495	-106
ind496	ind496	-105
ind497	ind497	-104
ind498	ind498	-103
ind499	ind499	-102
ind500	ind500	-101
ind501	ind501	-100
ind502	ind502	-99
ind503	ind503	-98
ind504	ind504	-97
ind505	ind505	-96
ind506	ind506	-95
ind507	ind507	-94
ind508	ind508	-93
ind509	ind509	-92
ind510	ind510	-91
ind511	ind511	-90
ind512	ind512	-89
ind513	ind513	-88
ind514	ind514	-87
ind515	ind515	-86
ind516	ind516	-85
ind517	ind517	-84
ind518	ind518	-83
ind519	ind519	-82
ind520	ind520	-81
ind521	ind521	-80
ind522	ind522	-79
ind523	ind523	-78
ind524	ind524	-77
ind525	ind525	-76
ind526	ind526	-75
ind527	ind527	-74
ind528	ind528	-73
ind529	ind529	-72
ind530	ind530	-71
ind531	ind531	-70
ind532	ind532	-69
ind533	ind533	-68
ind534	ind534	-67
ind535	ind535	-66
ind536	ind536	-65
ind537	ind537	-64
ind538	ind538	-63
ind539	ind539	-62
ind540	ind540	-61
ind541	ind541	-60
ind542	ind542	-59
ind543	ind543	-58
ind544	ind544	-57
ind545	ind545	-56
ind546	ind546	-55
ind547	ind547	-54
ind548	ind548	-53
ind549	ind549	-52
ind550	ind550	-51
ind551	ind551	-50
ind552	ind552	-49
ind553	ind553	-48
ind554	ind554	-47
ind555	ind555	-46
ind556	ind556	-45
ind557	ind557	-44
ind558	ind558	-43
ind559	ind559	-42
ind560	ind560	-41
ind561	ind561	-40
ind562	ind562	-39
ind563	ind563	-38
ind564	ind564	-37
ind565	ind565	-36
ind566	ind566	-35
ind567	ind567	-34
ind568	ind568	-33
ind569	ind569	-32
ind570	ind570	-31
ind571	ind571	-30
ind572	ind572	-29
ind573	ind573	-28
ind574	ind574	-27
ind575	ind575	-26
ind576	ind576	-25
ind577	ind577	-24
ind578	ind578	-23
ind579	ind579	-22
ind580	ind580	-21
ind581	ind581	-20
ind582	ind582	-19
ind583	ind583	-18
ind584	ind584	-17
ind585	ind585	-16
ind586	ind586	-15
ind587	ind587	-14
ind588	ind588	-13
ind589	ind589	-12
ind590	ind590	-11
ind591	ind591	-10
ind592	ind592	-9
ind593	ind593	-8
ind594	ind594	-7
ind595	ind595	-6
ind596	ind596	-5
ind597	ind597	-4
ind598	ind598	-3
ind599	ind599	-2
ind600	ind600	-1
ind601	ind601	0
ind602	ind602	1
ind603	ind603	2
ind604	ind604	3
ind605	ind605	4
ind606	ind606	5
ind607	ind607	6
ind608	ind608	7
ind609	ind609	8
ind610	ind610	9
ind611	ind611	10
ind612	ind612	11
ind613	ind613	12
ind614	ind614	13
ind615	ind615	14
ind616	ind616	15
ind617	ind617	16
ind618	ind618	17
ind619	ind619	18
ind620	ind620	19
ind621	ind621	20
ind622	ind622	21
ind623	ind623	22
ind624	ind624	23
ind625	ind625	24
ind626	ind626	25
ind627	ind627	26
ind628	ind628	27
ind629	ind629	28
ind630	ind630	29
ind631	ind631	30
ind632	ind632	31
ind633	ind633	32
ind634	ind634	33
ind635	ind635	34
ind636	ind636	35
ind637	ind637	36
ind638	ind638	37
ind639	ind639	38
ind640	ind640	39
ind641	ind641	40
ind642	ind642	41
ind643	ind643	42
ind644	ind644	43
ind645	ind645	44
ind646	ind646	45
ind647	ind647	46
ind648	ind648	47
ind649	ind649	48
ind650	ind650	49
ind651	ind651	50
ind652	ind652	51
ind653	ind653	52
ind654	ind654	53
ind655	ind655	54
ind656	ind656	55
ind657	ind657	56
ind658	ind658	57
ind659	ind659	58
ind660	ind660	59
ind661	ind661	60
ind662	ind662	61
ind663	ind663	62
ind664	ind664	63
ind665	ind665	64
ind666	ind666	65
ind667	ind667	66
ind668	ind668	67
ind669	ind669	68
ind670	ind670	69
ind671	ind671	70
ind672	ind672	71
ind673	ind673	72
ind674	ind674	73
ind675	ind675	74
ind676	ind676	75
ind677	ind677	76
ind678	ind678	77
ind679	ind679	78
ind680	ind680	79
ind681	ind681	80
ind682	ind682	81
ind683	ind683	82
ind684	ind684	83
ind685	ind685	84
ind686	ind686	85
ind687	ind687	86
ind688	ind688	87
ind689	ind689	88
ind690	ind690	89
ind691	ind691	90
ind692	ind692	91
ind693	ind693	92
ind694	ind694	93
ind695	ind695	94
ind696	ind696	95
ind697	ind697	96
ind698	ind698	97
ind699	ind699	98
ind700	ind700	99
ind701	ind701	100
ind702	ind702	101
ind703	ind703	102
ind704	ind704	103
ind705	ind705	104
ind706	ind706	105
ind707	ind707	106
ind708	ind708	107
ind709	ind709	108
ind710	ind710	109
ind711	ind711	110
ind712	ind712	111
ind713	ind713	112
ind714	ind714	113
ind715	ind715	114
ind716	ind716	115
ind717	ind717	116
ind718	ind718	117
ind719	ind719	118
ind720	ind720	119
ind721	ind721	120
ind722	ind722	121
ind723	ind723	122
ind724	ind724	123
ind725	ind725	124
ind726	ind726	125
ind727	ind727	126
ind728	ind728	127
ind729	ind729	128
ind730	ind730	129
ind731	ind731	130
ind732	ind732	131
ind733	ind733	132
ind734	ind734	133
ind735	ind735	134
ind736	ind736	135
ind737	ind737	136
ind738	ind738	137
ind739	ind739	138
ind740	ind740	139
ind741	ind741	140
ind742	ind742	141
ind743	ind743	142
ind744	ind744	143
ind745	ind745	144
ind746	ind746	145
ind747	ind747	146
ind748	ind748	147
ind749	ind749	148
ind750	ind750	149
ind751	ind751	150
ind752	ind752	151
ind753	ind753	152
ind754	ind754	153
ind755	ind755	154
ind756	ind756	155
ind757	ind757	156
ind758	ind758	157
ind759	ind759	158
ind760	ind760	159
ind761	ind761	160
ind762	ind762	161
ind763	ind763	162
ind764	ind764	163
ind765	ind765	164
ind766	ind766	165
ind767	ind767	166
ind768	ind768	167
ind769	ind769	168
ind770	ind770	169
ind771	ind771	170
ind772	ind772	171
ind773	ind773	172
ind774	ind774	173
ind775	ind775	174
ind776	ind776	175
ind777	ind777	176
ind778	ind778	177
ind779	ind779	178
ind780	ind780	179
ind781	ind781	180
ind782	ind782	181
ind783	ind783	182
ind784	ind784	183
ind785	ind785	184
ind786	ind786	185
ind787	ind787	186
ind788	ind788	187
ind789	ind789	188
ind790	ind790	189
ind791	ind791	190
ind792	ind792	191
ind793	ind793	192
ind794	ind794	193
ind795	ind795	194
ind796	ind796	195
ind797	ind797	196
ind798	ind798	197
ind799	ind799	198
ind800	ind800	199
ind801	ind801	200
ind802	ind802	201
ind803	ind803	202
ind804	ind804	203
ind805	ind805	204
ind806	ind806	205
ind807	ind807	206
ind808	ind808	207
ind809	ind809	208
ind810	ind810	209
ind811	ind811	210
ind812	ind812	211
ind813	ind813	212
ind814	ind814	213
ind815	ind815	214
ind816	ind816	215
ind817	ind817	216
ind818	ind818	217
ind819	ind819	218
ind820	ind820	219
ind821	ind821	220
ind822	ind822	221
ind823	ind823	222
ind824	ind824	223
ind825	ind825	224
ind826	ind826	225
ind827	ind827	226
ind828	ind828	227
ind829	ind829	228
ind830	ind830	229
ind831	ind831	230
ind832	ind832	231
ind833	ind833	232
ind834	ind834	233
ind835	ind835	234
ind836	ind836	235
ind837	ind837	236
ind838	ind838	237
ind839	ind839	238
ind840	ind840	239
ind841	ind841	240
ind842	ind842	241
ind843	ind843	242
ind844	ind844	243
ind845	ind845	244
ind846	ind846	245
ind847	ind847	246
ind848	ind848	247
ind849	ind849	248
ind850	ind850	249
ind851	ind851	250
ind852	ind852	251
ind853	ind853	252
ind854	ind854	253
ind855	ind855	254
ind856	ind856	255
ind857	ind857	256
ind858	ind858	257
ind859	ind859	258
ind860	ind860	259
ind861	ind861	260
ind862	ind862	261
ind863	ind863	262
ind864	ind864	263
ind865	ind865	264
ind866	ind866	265
ind867	ind867	266
ind868	ind868	267
ind869	ind869	268
ind870	ind870	269
ind871	ind871	270
ind872	ind872	271
ind873	ind873	272
ind874	ind874	273
ind875	ind875	274
ind876	ind876	275
ind877	ind877	276
ind878	ind878	277
ind879	ind879	278
ind880	ind880	279
ind881	ind881	280
ind882	ind882	281
ind883	ind883	282
ind884	ind884	283
ind885	ind885	284
ind886	ind886	285
ind887	ind887	286
ind888	ind888	287
ind889	ind889	288
ind890	ind890	289
ind891	ind891	290
ind892	ind892	291
ind893	ind893	292
ind894	ind894	293
ind895	ind895	294
ind896	ind896	295
ind897	ind897	296
ind898	ind898	297
ind899	ind899	298
ind900	ind900	299
ind901	ind901	300
ind902	ind902	301
ind903	ind903	302
ind904	ind904	303
ind905	ind905	304
ind906	ind906	305
ind907	ind907	306
ind908	ind908	307
ind909	ind909	308
ind910	ind910	309
ind911	ind911	310
ind912	ind912	311
ind913	ind913	312
ind914	ind914	313
ind915	ind915	314
ind916	ind916	315
ind917	ind917	316
ind918	ind918	317
ind919	ind919	318
ind920	ind920	319
ind921	ind921	320
ind922	ind922	321
ind923	ind923	322
ind924	ind924	323
ind925	ind925	324
ind926	ind926	325
ind927	ind927	326
ind928	ind928	327
ind929	ind929	328
ind930	ind930	329
ind931	ind931	330
ind932	ind932	331
ind933	ind933	332
ind934	ind934	333
ind935	ind935	334
ind936	ind936	335
ind937	ind937	336
ind938	ind938	337
ind939	ind939	338
ind940	ind940	339
ind941	ind941	340
ind942	ind942	341
ind943	ind943	342
ind944	ind944	343
ind945	ind945	344
ind946	ind946	345
ind947	ind947	346
ind948	ind948	347
ind949	ind949	348
ind950	ind950	349
ind951	ind951	350
ind952	ind952	351
ind953	ind953	352
ind954	ind954	353
ind955	ind955	354
ind956	ind956	355
ind957	ind957	356
ind958	ind958	357
ind959	ind959	358
ind960	ind960	359
ind961	ind961	360
ind962	ind962	361
ind963	ind963	362
ind964	ind964	363
ind965	ind965	364
ind966	ind966	365
ind967	ind967	366
ind968	ind968	367
ind969	ind969	368
ind970	ind970	369
ind971	ind971	370
ind972	ind972	371
ind973	ind973	372
ind974	ind974	373
ind975	ind975	374
ind976	ind976	375
ind977	ind977	376
ind978	ind978	377
ind979	ind979	378
ind980	ind980	379
ind981	ind981	380
ind982	ind982	381
ind983	ind983	382
ind984	ind984	383
ind985	ind985	384
ind986	ind986	385
ind987	ind987	386
ind988	ind988	387
ind989	ind989	388
ind990	ind990	389
ind991	ind991	390
ind992	ind992	391
ind993	ind993	392
ind994	ind994	393
ind995	ind995	394
ind996	ind996	395
ind997	ind997	396
ind998	ind998	397
ind999	ind999	398
ind1000	ind1000	399
ind1001	ind1001	400
ind1002	ind1002	401
ind1003	ind1003	402
ind1004	ind1004	403
ind1005	ind1005	404
ind1006	ind1006	405
ind1007	ind1007	406
ind1008	ind1008	407
ind1009	ind1009	408
ind1010	ind1010	409
ind1011	ind1011	410
ind1012	ind1012	411
ind1013	ind1013	412
ind1014	ind1014	413
ind1015	ind1015	414
ind1016	ind1016	415
ind1017	ind1017	416
ind1018	ind1018	417
ind1019	ind1019	418
ind1020	ind1020	419
ind1021	ind1021	420
ind1022	ind1022	421
ind1023	ind1023	422
ind1024	ind1024	423
ind1025	ind1025	424
ind1026	ind1026	425
ind1027	ind1027	426
ind1028	ind1028	427
ind1029	ind1029	428
ind1030	ind1030	429
ind1031	ind1031	430
ind1032	ind1032	431
ind1033	ind1033	432
ind1034	ind1034	433
ind1035	ind1035	434
ind1036	ind1036	435
ind1037	ind1037	436
ind1038	ind1038	437
ind1039	ind1039	438
ind1040	ind1040	439
ind1041	ind1041	440
ind1042	ind1042	441
ind1043	ind1043	442
ind1044	ind1044	443
ind1045	ind1045	444
ind1046	ind1046	445
ind1047	ind1047	446
ind1048	ind1048	447
ind1049	ind1049	448
ind1050	ind1050	449
ind1051	ind1051	450
ind1052	ind1052	451
ind1053	ind1053	452
ind1054	ind1054	453
ind1055	ind1055	454
ind1056	ind1056	455
ind1057	ind1057	456
ind1058	ind1058	457
ind1059	ind1059	458
ind1060	ind1060	459
ind1061	ind1061	460
ind1062	ind1062	461
ind1063	ind1063	462
ind1064	ind1064	463
ind1065	ind1065	464
ind1066	ind1066	465
ind1067	ind1067	466
ind1068	ind1068	467
ind1069	ind1069	468
ind1070	ind1070	469
ind1071	ind1071	470
ind1072	ind1072	471
ind1073	ind1073	472
ind1074	ind1074	473
ind1075	ind1075	474
ind1076	ind1076	475
ind1077	ind1077	476
ind1078	ind1078	477
ind1079	ind1079	478
ind1080	ind1080	479
ind1081	ind1081	480
ind1082	ind1082	481
ind1083	ind1083	482
ind1084	ind1084	483
ind1085	ind1085	484
ind1086	ind1086	485
ind1087	ind1087	486
ind1088	ind1088	487
ind1089	ind1089	488
ind1090	ind1090	489
ind1091	ind1091	490
ind1092	ind1092	491
ind1093	ind1093	492
ind1094	ind1094	493
ind1095	ind1095	494
ind1096	ind1096	495
ind1097	ind1097	496
ind1098	ind1098	497
ind1099	ind1099	498
ind1100	ind1100	499
ind1101	ind1101	500
ind1102	ind1102	501
ind1103	ind1103	502
ind1104	ind1104	503
ind1105	ind1105	504
ind1106	ind1106	505
ind1107	ind1107	506
ind1108	ind1108	507
ind1109	ind1109	508
ind1110	ind1110	509
ind1111	ind1111	510
ind1112	ind1112	511
ind1113	ind1113	512
ind1114	ind1114	513
ind1115	ind1115	514
ind1116	ind1116	515
ind1117	ind1117	516
ind1118	ind1118	517
ind1119	ind1119	518
ind1120	ind1120	519
ind1121	ind1121	520
ind1122	ind1122	521
ind1123	ind1123	522
ind1124	ind1124	523
ind1125	ind1125	524
ind1126	ind1126	525
ind1127	ind1127	526
ind1128	ind1128	527
ind1129	ind1129	528
ind1130	ind1130	529
ind1131	ind1131	530
ind1132	ind1132	531
ind1133	ind1133	532
ind1134	ind1134	533
ind1135	ind1135	534
ind1136	ind1136	535
ind1137	ind1137	536
ind1138	ind1138	537
ind1139	ind1139	538
ind1140	ind1140	539
ind1141	ind1141	540
ind1142	ind1142	541
ind1143	ind1143	542
ind1144	ind1144	543
ind1145	ind1145	544
ind1146	ind1146	545
ind1147	ind1147	546
ind1148	ind1148	547
ind1149	ind1149	548
ind1150	ind1150	549
ind1151	ind1151	550
ind1152	ind1152	551
ind1153	ind1153	552
ind1154	ind1154	553
ind1155	ind1155	554
ind1156	ind1156	555
ind1157	ind1157	556
ind1158	ind1158	557
ind1159	ind1159	558
ind1160	ind1160	559
ind1161	ind1161	560
ind1162	ind1162	561
ind1163	ind1163	562
ind1164	ind1164	563
ind1165	ind1165	564
ind1166	ind1166	565
ind1167	ind1167	566
ind1168	ind1168	567
ind1169	ind1169	568
ind1170	ind1170	569
ind1171	ind1171	570
ind1172	ind1172	571
ind1173	ind1173	572
ind1174	ind1174	573
ind1175	ind1175	574
ind1176	ind1176	575
ind1177	ind1177	576
ind1178	ind1178	577
ind1179	ind1179	578
ind1180	ind1180	579
ind1181	ind1181	580
ind1182	ind1182	581
ind1183	ind1183	582
ind1184	ind1184	583
ind1185	ind1185	584
ind1186	ind1186	585
ind1187	ind1187	586
ind1188	ind1188	587
ind1189	ind1189	588
ind1190	ind1190	589
ind1191	ind1191	590
ind1192	ind1192	591
ind1193	ind1193	592
ind1194	ind1194	593
ind1195	ind1195	594
ind1196	ind1196	595
ind1197	ind1197	596
ind1198	ind1198	597
ind1199	ind1199	598
ind1200	ind1200	599
